agegrp,density_c,examyear_cat,riskBCSC_v2_5y_cat,resinit_c,resfnl_c,resfnl_c3,cancscrfu1yr_c,dcisscrfu1yr_c,invscrfu1yr_c,stage_advanced,count
40-49,unknown,2005-2008,unknown,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,19320
40-49,unknown,2009-2010,unknown,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,10035
40-49,unknown,2011-2012,unknown,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,12778
40-49,unknown,2013-2014,unknown,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,5708
40-49,unknown,2015-2017,unknown,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,663
40-49,unknown,2005-2008,unknown,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,11
40-49,unknown,2009-2010,unknown,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,5
40-49,unknown,2011-2012,unknown,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,3
40-49,unknown,2013-2014,unknown,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,2
40-49,unknown,2015-2017,unknown,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
40-49,unknown,2011-2012,unknown,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,1: Yes,5
40-49,unknown,2009-2010,unknown,0: Negative,0: Negative,0: Negative,1: Yes,1: Yes,0: No,0: No,1
40-49,unknown,2011-2012,unknown,0: Negative,0: Negative,0: Negative,1: Yes,1: Yes,0: No,0: No,1
40-49,unknown,2005-2008,unknown,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1290
40-49,unknown,2009-2010,unknown,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,821
40-49,unknown,2011-2012,unknown,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,1048
40-49,unknown,2013-2014,unknown,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,389
40-49,unknown,2015-2017,unknown,1: Positive,0: Negative,0: Negative,0: No,0: No,0: No,0: No,53
40-49,unknown,2005-2008,unknown,1: Positive,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
40-49,unknown,2011-2012,unknown,1: Positive,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,2
40-49,unknown,2005-2008,unknown,1: Positive,0: Negative,0: Negative,1: Yes,1: Yes,0: No,0: No,2
40-49,unknown,2013-2014,unknown,1: Positive,0: Negative,0: Negative,1: Yes,1: Yes,0: No,0: No,1
40-49,unknown,2005-2008,unknown,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,440
40-49,unknown,2009-2010,unknown,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,181
40-49,unknown,2011-2012,unknown,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,181
40-49,unknown,2013-2014,unknown,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,51
40-49,unknown,2015-2017,unknown,1: Positive,0: Negative,1: Positive,0: No,0: No,0: No,0: No,3
40-49,unknown,2005-2008,unknown,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,3
40-49,unknown,2011-2012,unknown,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,0: No,1
40-49,unknown,2005-2008,unknown,1: Positive,0: Negative,1: Positive,1: Yes,0: No,1: Yes,1: Yes,1
40-49,unknown,2005-2008,unknown,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,1
40-49,unknown,2009-2010,unknown,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,1
40-49,unknown,2011-2012,unknown,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,1
40-49,unknown,2013-2014,unknown,1: Positive,0: Negative,1: Positive,1: Yes,1: Yes,0: No,0: No,1
40-49,unknown,2005-2008,unknown,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,306
40-49,unknown,2009-2010,unknown,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,119
40-49,unknown,2011-2012,unknown,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,136
40-49,unknown,2013-2014,unknown,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,78
40-49,unknown,2015-2017,unknown,1: Positive,1: Positive,1: Positive,0: No,0: No,0: No,0: No,13
40-49,unknown,2005-2008,unknown,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,34
40-49,unknown,2009-2010,unknown,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,15
40-49,unknown,2011-2012,unknown,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,33
40-49,unknown,2013-2014,unknown,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,5
40-49,unknown,2015-2017,unknown,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,0: No,2
40-49,unknown,2005-2008,unknown,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,1: Yes,5
40-49,unknown,2009-2010,unknown,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,1: Yes,1
40-49,unknown,2011-2012,unknown,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,1: Yes,4
40-49,unknown,2013-2014,unknown,1: Positive,1: Positive,1: Positive,1: Yes,0: No,1: Yes,1: Yes,2
40-49,unknown,2005-2008,unknown,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,32
40-49,unknown,2009-2010,unknown,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,9
40-49,unknown,2011-2012,unknown,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,17
40-49,unknown,2013-2014,unknown,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,12
40-49,unknown,2015-2017,unknown,1: Positive,1: Positive,1: Positive,1: Yes,1: Yes,0: No,0: No,1
40-49,a,2005-2008,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,6443
40-49,a,2009-2010,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,7231
40-49,a,2011-2012,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,6199
40-49,a,2013-2014,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,5123
40-49,a,2015-2017,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,2762
40-49,a,2005-2008,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,6
40-49,a,2009-2010,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,8
40-49,a,2011-2012,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,4
40-49,a,2013-2014,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,5
40-49,a,2015-2017,1.00 to 1.66,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,2
40-49,a,2009-2010,1.67 to 2.49,0: Negative,0: Negative,0: Negative,0: No,0: No,0: No,0: No,2
40-49,a,2005-2008,0.00 to < 1.00,0: Negative,0: Negative,0: Negative,1: Yes,0: No,1: Yes,0: No,1
